strategy,seed,epoch,toxicity,quality_gap,welfare,rho_a,mean_p,honest_p,opp_p
fixed_0.0,0,0,0.21922833474897413,0.48106865129131277,53.10225164290637,0.0,0.6765401241379081,0.7241019735857973,0.6447308428453297
fixed_0.0,0,1,0.23004943776539866,0.4727033334662041,49.913614169159914,0.0,0.6675315066502571,0.7135003146128759,0.6400331536593139
fixed_0.0,0,2,0.22084475541533566,0.4806516802479402,52.50370757336234,0.0,0.6750140471976106,0.7599237320333434,0.5719209206510377
fixed_0.0,0,3,0.24739386240130595,0.45140347960352145,40.767732952266435,0.0,0.6322318763710884,0.7204102333666976,0.5546598775602751
fixed_0.0,0,4,0.22405970489797272,0.47526352072541245,47.757216114459005,0.0,0.6531638855812958,0.7173760052362272,0.5915977418224813
fixed_0.0,0,5,0.22944743058417885,0.47978523697621267,52.80427937351685,0.0,0.6785937323287138,0.7681479463101727,0.5957214564830863
fixed_0.0,0,6,0.23177761549376155,0.4755155195553975,49.35706433079831,0.0,0.661231392606274,0.7459515315496565,0.5556678783372667
fixed_0.0,0,7,0.24550785784322246,0.4566032926580666,44.48435102234171,0.0,0.6479513738698953,0.7203971220066854,0.6253520463800083
fixed_0.0,0,8,0.23781835290794803,0.4642858762125507,45.960478921543256,0.0,0.6499792270073522,0.7386412055042362,0.5911189414085242
fixed_0.0,0,9,0.2404153569807818,0.4666421494407948,44.46856660582168,0.0,0.6429241056590196,0.691789226110425,0.5956494347300386
fixed_0.0,0,10,0.24570020417493013,0.45892645896070267,37.062394368692466,0.0,0.6127974709788532,0.6971861989545699,0.5558127793562702
fixed_0.0,0,11,0.22674981660838328,0.47550686172753204,50.22826695921361,0.0,0.666261139502922,0.7631611558286989,0.586310486645001
fixed_0.0,0,12,0.22755583452473216,0.47770568588110013,46.571846019802436,0.0,0.649036863289317,0.7410677783316463,0.5178880722733618
